1.000 person-år,"1958 
64 år i 2022",1959,1960,1961,1962,1963,1964,1965,"1966 
64 år i 2030"
Beskæftigelse (ekskl. fleksjob),8.7,10.4,10.9,9.9,10.5,11.9,12.9,13.2,14.4
"Fleksjob, dagpenge, sygedagpenge",1.0,1.2,1.2,1.1,1.2,1.4,1.5,1.5,1.7
Efterløn,16.5,10.3,8.7,5.5,4.6,4.0,3.5,2.8,2.6
Andre overførsler samt selvforsørgede,1.9,2.5,2.4,2.3,2.4,2.8,2.9,3.0,3.2
