1.000 personer,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Berettiget til tidlig pension,41.3,49.4,56.6,55.9,52.2,45.0,34.3,24.8,32.0,42.2,39.0,31.8,22.5,28.0
Benytter tidlig pension,24.5,29.4,32.5,29.0,25.1,21.5,16.6,12.8,16.6,21.8,20.4,16.8,12.3,15.5
